week,pub_date,title,teaser,url
44,11/3/2010,Moving The Cheese From Starter Plate To Dessert Tray,"Sure, artisan cheeses can stand alone. But add those complex flavors -- salty, sweet, savory, earthy and lush all at once -- to a typical truffle or cookie, and the result is a delicious marriage.",http://www.npr.org/templates/story/story.php?storyId=130996934
43,10/27/2010,Winter Squash: New Faces In The Pumpkin Patch,"If you've had enough of the seemingly ubiquitous butternut squash soup, have no fear. Butternut and acorn squash are making way for varieties like kabocha and jarrahdale. Yes, squash is the latest ""it"" fruit, so it's time to go beyond butternut.",http://www.npr.org/templates/story/story.php?storyId=130833903
42,10/20/2010,Oven Fries: Having It Both Ways,"It can be hard to resist the crispy, salty temptation to ""Have It Your Way,"" but you can ditch the fast-food fries and make your own -- in the oven. It takes a bit more time, but you won't mind when you taste your piping-hot potatoes, chicken and other favorites.",http://www.npr.org/templates/story/story.php?storyId=130673515
41,10/13/2010,Tips For Picnics On The Tailgate,"Whether you're a sports fan or just someone who enjoys eating al fresco, think advance prep, bite-size, knife-free -- and go team!",http://www.npr.org/templates/story/story.php?storyId=130514655
40,10/6/2010,Not A Fan Of Beer? These Pairings May Win You Over,"You may think you don't like beer, but with Oktoberfest celebrations in full swing, you might want to reconsider. Start with a ""transitional"" beer and flavorful foods to match, and you'll be saying ""cheers"" in no time.",http://www.npr.org/templates/story/story.php?storyId=130354379
39,9/29/2010,"Have Your (Less Sinful) Cupcake And Enjoy It, Too","Of course, a cupcake is meant to be decadent. But it's possible to pack some nutrition into these trendy little treats and still feel like you're indulging -- without the guilt that can come with consuming the full-calorie versions.",http://www.npr.org/templates/story/story.php?storyId=130191177
38,9/21/2010,"Home-Style Hangzhou Cuisine: Subtle, Not Spicy","It's maybe not as well-known as Sichuan or Cantonese fare, but Zhejiang province (Hangzhou is its capital) still boasts one of China's eight distinct culinary traditions. True to the region's emphasis on fresh ingredients and mellow flavors, these light dishes also are easy to try at home.",http://www.npr.org/templates/story/story.php?storyId=130021572
37,9/15/2010,Bringing The Bean Out Of Its Shell,"Scrap the canned beans and bag the dried ones -- it's time for fresh beans, still nestled in their protective shells. With the help of a few chatty friends or relatives, in no time you'll have plenty of beans freed from their casings and ready for all kinds of hearty, vibrant dishes.",http://www.npr.org/templates/story/story.php?storyId=129855166
36,9/8/2010,Why The Priest Fainted: An Ode To Eggplant,"This fruit commonly used as vegetable is perhaps less loved in the U.S. than in India and the Mideast, where food writer Monica Bhide grew up. But after years of presenting different renditions to American friends and family, she's found ways to woo the eggplant skeptics - including these spice-laden recipes and tips.",http://www.npr.org/2010/09/08/129707905/why-the-priest-fainted-an-ode-to-eggplant
35,9/1/2010,Learning Who You Are Through What You Eat,"The long Labor Day weekend marks the end of summer for many in the U.S., but it's also a time when ethnic churches hold massive food festivals to celebrate their origins. For food writer Michele Kayal and her young daughter, Syrian festivals -- and the preparations for them -- are an enduring link to the past.",http://www.npr.org/templates/story/story.php?storyId=129554547
34,8/25/2010,DIY Wedding Cake: Secret Ingredient Is Love,It isn't quick -- or easy -- but making a cake for someone's wedding is a wonderful gift and a money-saver for the newlyweds. Food writer Nicole Spiridakis relays tips and recipes from her cake-crafting success story.,http://www.npr.org/templates/story/story.php?storyId=129403566
33,8/18/2010,Hawaii's Ono Kine Grinds (Good Food),"From a hamburger patty and gravy on rice (""loco moco"") to poor man's sushi (""poke""), everyday cuisine in the ethnically diverse Aloha state reflects the intermingling of cultures that created it.",http://www.npr.org/templates/story/story.php?storyId=129254697
32,8/11/2010,Verrines: A Glass Act,"These luscious little dishes comprise alternating layers of complementary colors, textures and flavors -- all showcased in clear glass containers. A verrine is most commonly a dessert, but appetizers, salads, side dishes and even whole meals can be adapted to this stripey presentation.",http://www.npr.org/templates/story/story.php?storyId=129104081
31,8/3/2010,Cracking The Lychee 'Nut',"Don't let the prickly skin deter you. Beneath that tough exterior is a bold, luscious fruit with tons of potential, from savory main courses to dessert.",http://www.npr.org/templates/story/story.php?storyId=128951468
30,7/28/2010,"Have Your Limoncello And Eat It, Too","Although traditionally served as an after-dinner sipper, this Italian liqueur is perfectly suited for any time of day -- particularly in a cocktail. But don't just drink it. Make your own, then use it for cooking and baking to impart creamy, lemony flavor without a lot of acidity.",http://www.npr.org/templates/story/story.php?storyId=128800809
29,7/21/2010,Shredded Salads: Meals For The Lazy Cook,"Summertime inspires dizzying feats of laziness in the kitchen. Liquid lunches, random fruit meet-ups, meals consisting of things you can throw in a blender -- anything to avoid summer's Public Enemy No. 1: the stove. These easy-to-make, easy-to-eat salads won't impose on your downtime.",http://www.npr.org/templates/story/story.php?storyId=128643604
28,7/14/2010,Getting Kids Into The Kitchen,Tired of the same old ice pops? Try these cool treats from chefs and food writers to keep youngsters entertained this summer.,http://www.npr.org/templates/story/story.php?storyId=128490458
27,7/7/2010,Lessons From A Corny Childhood,"Tending her family's garden as a youngster seemed like one big summertime chore to Janet Zimmerman. But one thing made all the toil worth it, she says: corn so fresh it was growing in the afternoon, and on her plate by dinnertime. She's since discovered that on the cob isn't the only way to enjoy it.",http://www.npr.org/templates/story/story.php?storyId=128339700
26,6/30/2010,Give Chickpeas A Chance,"In the Middle East, the origins of traditional dishes like hummus are the subject of contentious debate across cultures and borders. But Israeli food writer Vered Guttman suggests that these culinary similarities are reason for hope.",http://www.npr.org/templates/story/story.php?storyId=128195004
25,6/23/2010,Weed It And Reap: A Meal With Nature's Outcasts,"Instead of obliterating the plant pests in your garden, try harvesting them. After all, they've been fattened up on your good compost and diligent watering all season. All you need is an open mind - and the appetite to go with it.",http://www.npr.org/2010/06/23/128010832/weed-it-and-reap-a-meal-with-natures-outcasts
24,6/16/2010,Making Butter Chicken With Dad,"Food writer Monica Bhide's father is an engineer by trade. But when he wasn't out of town for work, he was at home in the kitchen, making his child's favorite butter chicken. Though she now makes the dish herself for her own family, she's happy to still need Dad's help to get it just right.",http://www.npr.org/templates/story/story.php?storyId=127853185
23,6/7/2010,You Don't Have To Be Italian To Eat Broccoli Rabe,Food writer Susan Russo's mom often served the vegetable to family -- never to visitors who might not be acquainted with it. But times have changed. Broccoli rabe's appeal has grown -- and Russo recommends sharing it with family ,http://www.npr.org/templates/story/story.php?storyId=127561145
22,6/2/2010,Beyond Shirley Temples: The New Maraschino Cherry,"Fishing the sticky-sweet, hot-pink orb from the bottom of a soda glass was a rite of childhood. But set aside that store-bought variety and make your own, with fresh cherries -- and a few fresh ideas for showcasing them.",http://www.npr.org/templates/story/story.php?storyId=127349094
21,5/25/2010,Cilantro: The Controversial Herb,"Like politics and religion, this leafy plant elicits strong opinions. Even its name is subject to debate: The leaves are called cilantro, while the seeds are called coriander -- at least in the U.S. But it's so easy-growing and versatile that it is featured in cuisines from all over the world -- which means ample opportunity to join the debate.",http://www.npr.org/templates/story/story.php?storyId=127092887
20,5/18/2010,Market-Fresh Breakfasts,"You don't have to wait till lunch or dinner to dig into your early-bird haul from the farmers market. Tuck some fresh vegetables into your morning meal -- or, better yet, give them a starring role at the table.",http://www.npr.org/templates/story/story.php?storyId=126911529
19,5/12/2010,Feeding The Hungry Traveler,"Wandering from airport vendor to airport vendor in search of a meal that's even remotely nutritious can be exhausting -- and, in some airports, completely fruitless. Avoid the food-court shuffle by packing up these sturdy, delicious dishes before you leave home.",http://www.npr.org/templates/story/story.php?storyId=126741304
18,5/5/2010,Into The Mouths Of Babes: The Foods That Bind,"As Mother's Day approaches, food writer Monica Bhide recalls the ups and downs of her young son's adventuresome tastes. As he got older, he shied away from dishes that his peers deemed ""weird."" But a kids cooking class showed him he wasn't alone - and led to renewed requests for Mom's signature shrimp curry.",http://www.npr.org/2010/05/05/126509753/into-the-mouths-of-babes-the-foods-that-bind
17,4/27/2010,In Defense Of Marmite,"Few foods inspire the kind of revulsion that Marmite does. Technically called ""yeast extract,"" it's basically a spread made from waste from the beer-making process. But food writer Michele Kayal says it gets a bad rap - and that this earthy, salty British export will set your taste buds free.",http://www.npr.org/templates/story/story.php?storyId=126307676
16,4/21/2010,For The Love Of Licorice,"Like its dark, tarry candy form, the flavor of licorice can overstay its welcome. So food writer T. Susan Chang prefers dishes in which other ingredients complement and tame its sweet refrain. In the right context, she says, the essence of licorice - in fennel, tarragon or basil, for example - charms and captivates.",http://www.npr.org/templates/story/story.php?storyId=126136480
15,4/14/2010,Cooking With Fresh Roe: A Rite Of Spring,"The delicate, delectable eggs and egg sacs from many kinds of fish are a seasonal treat worth trying, even for the uninitiated. So, food writer Bonny Wolf suggests, don't balk when your fishmonger asks if you want to keep the roe.",http://www.npr.org/templates/story/story.php?storyId=125898335
14,4/6/2010,Soups That Bloom In The Spring,"It's time to put the long-simmered, sturdy stews of winter on the back burner and showcase the bright, delicate flavors of the season of rebirth. But spring's temperament calls for recipes that can step back toward warm comfort if need be, or leap forward into summery refreshment.",http://www.npr.org/templates/story/story.php?storyId=125623328
13,3/31/2010,A Good Easter Dinner Could Be Greek To You,"With the Eastern Orthodox and Protestant/Catholic Easters occurring on the same date this year, what better way to celebrate than with the flavors of Greece? Roast lamb and a traditional sweet bread star in a holiday spread welcoming spring and rebirth.",http://www.npr.org/templates/story/story.php?storyId=125346578
12,3/23/2010,Relishing The Radish,"It's often relegated to a supporting role in salads, but this root vegetable is a rising star. As stuffing for a luxurious sandwich or a vibrant accompaniment to steak or fish, the radish truly shines.",http://www.npr.org/templates/story/story.php?storyId=125066665
11,3/17/2010,Maine Shrimp: For A Limited Time Only,"You don't have to live in New England to treat yourself to the sweet, delicate meat of these little pink crustaceans. Have them shipped straight to your door if you like, then serve up a shrimp smorgasbord. They're only available for a few more months - but they freeze beautifully for the off-season.",http://www.npr.org/templates/story/story.php?storyId=124734495
10,3/10/2010,Don't Turn Your Nose Up At A Stinky Cheese,"The colorful rinds and pungent odors of a washed-rind cheese can be off-putting. But hidden inside is a sweet, creamy treat that transforms classic comfort foods.",http://www.npr.org/templates/story/story.php?storyId=124535791
9,3/2/2010,Oyster Stew: Four Ways To Warm Up Cool Nights,"In a stew, oysters keep the fresh mineral flavors of a raw bar - but with the plump texture of a cooked bivalve. It's a warming way to have the best of both worlds, in a simple and satisfying oyster stew. Here are four interpretations of a classic, with flavors from Japan, Mexico and New Orleans.",http://www.npr.org/templates/story/story.php?storyId=124247392
8,2/23/2010,Bright Tastes And Colors Of India's Spring: Holi,"Colorful, sweet and savory Indian treats are a natural when it's time to celebrate the coming of spring. That's what the Hindu holiday of Holi - or the Festival of Colors - is all about. The day calls for bright curries, sweet and savory rice, a mango cannoli, and a special carrot juice.",http://www.npr.org/templates/story/story.php?storyId=124004181
7,2/16/2010,Lamb Shanks: Good Things Come to Those Who Wait,"The shank - the lower part of the leg, from the knee down - is one of the toughest cuts you can find on a lamb. But what makes it impossible to saute is what makes it ideal for braising. And after a good long stint in the oven, the reward is a succulent, meaty dish.",http://www.npr.org/templates/story/story.php?storyId=123786078
6,2/9/2010,Romancing The Avocado,"Avocados are among the most sensuous, luscious and luxurious of ingredients. Add how delicious, soft and subtly flavored they are, and you get a clear winner for a Valentine's Day meal.",http://www.npr.org/templates/story/story.php?storyId=123540917
5,2/3/2010,A Twist On Traditional Super Bowl Snacks,"Avid foodies and celebrity chefs, along with football's growing female audience, are influencing big-game grub. Let your guests think you're giving them the old standby snacks, then fake them out with a few gourmet twists.",http://www.npr.org/templates/story/story.php?storyId=123254415
4,1/26/2010,A French Culinary Love Affair,"While attending cooking school in Paris in her 20s, food writer Lynda Balslev fell in love with the unfussy comfort food of her neighborhood bistros. She returned to the U.S. years later with recipes that satisfy her enduring taste for the flavors of the French countryside.",http://www.npr.org/templates/story/story.php?storyId=122981240
3,1/19/2010,Spirited Cooking: Keep Some Liquor In The Kitchen,"Alcohol is a key ingredient in a fair share of holiday dishes, but there's reason to keep liquor in the kitchen the rest of the year: tequila-marinated chicken, for one, or vodka sauce for pasta. Aside from imparting its own flavor, alcohol can bring out the best in other ingredients.",http://www.npr.org/templates/story/story.php?storyId=122730434
2,1/12/2010,Indian-Chinese Cuisine: Of Spice And Zen,"Combining the flavors and traditions of these neighboring nations, long a practice in India, is gaining popularity across America. The intriguing hybrids are high in flavor, easy to make - and always leave you wanting more.",http://www.npr.org/2010/01/12/122497091/indian-chinese-cuisine-of-spice-and-zen
1,1/5/2010,Going With Whole Grains,"Resolutions are so last decade. This year, share a New Year's revelation: Whole grains aren't just good for you — they taste great, too. And less familiar varieties like quinoa, bulgur and farro can help keep a wholesome new diet from becoming humdrum.",http://www.npr.org/templates/story/story.php?storyId=122264238
52,12/29/2009,Which Food Stories Tempted You Most This Year?,"Whether you loved them or hated them, the Kitchen Window stories you viewed the most in the past year featured a nutritional gamut, from bacon-flecked desserts and creamy cheese sandwiches, to earthy lentil stews and vegetarian fare -- and a surprise stalwart from way back in 2007.",http://www.npr.org/templates/story/story.php?storyId=122018857
51,12/22/2009,Cheese Balls Get Some Respect,"If you hear ""cheese ball"" and think Play-Doh-colored processed cheese coated in tasteless crunchy miscellany, think again. Bursting with artisan cheeses and fresh seasonings, and rolled in nuts or crackers, these updates on the passe party food simply rock.",http://www.npr.org/templates/story/story.php?storyId=121758037
50,12/16/2009,Chestnuts Welcome At Any Winter Table,"Once a staple of early American meals, chestnuts now turn up mostly around the holidays. But the meaty little morsels are suitable for far more than roasting on an open fire.",http://www.npr.org/templates/story/story.php?storyId=121483305
49,12/9/2009,"Duck: Famously Fatty, Simply Delicious","When it comes to serving duck, it's so good on its own that little gilding is needed, says food writer Kevin D. Weeks. And its rich fat, he says, is a precious commodity to keep cosseted in the freezer for special dishes - like pan-fried Duck Potatoes.",http://www.npr.org/templates/story/story.php?storyId=121214932
48,12/1/2009,Bacon Gets Its Just Desserts,"It's not just for breakfast anymore: Rich, savory bacon enhances chocolate chip cookies, cakes and other sweets. And why make ordinary fudge for the holidays? Make it extraordinary - with peanut butter and, of course, maple-smoked bacon.",http://www.npr.org/2009/12/01/120994007/bacon-gets-its-just-desserts
47,11/25/2009,"Cooking For One: A Privilege, Not A Chore","In the run-up to a holiday synonymous with cooking huge feasts for crowds of hungry loved ones, it's easy to lose sight of the joy of making dinner solo. Food writer Nicole Spiridakis says it's one of life's simple pleasures - a chance to ask, ""What would ",http://www.npr.org/templates/story/story.php?storyId=120787920
46,11/18/2009,A Gluten-Free Thanksgiving,"Because holiday meals traditionally are laden with flour-heavy foods, the season can be tough for those new to a gluten-free lifestyle. But it's easy to leave out wheat products and still have delicious favorites like stuffing and pie.",http://www.npr.org/2009/11/18/120503651/a-gluten-free-thanksgiving
45,11/11/2009,Demystifying The Quince,"Those who haven't discovered the beguiling fragrance and subtle flavor of the quince might turn up their noses at the rock-hard, waxy-skinned fruit in the market. But the holidays are high time for a revival of this nostalgic relative of apples and pears.",http://www.npr.org/templates/story/story.php?storyId=120288799
44,11/4/2009,Foods Of Michoacan Are Forever,"It's no wonder that Michoacan state is known as ""the soul of Mexico."" Food writer Patricia Jinich finds Michoacanos generous, warm, hospitable and caring, and she can't get enough of their comforting cuisine.",http://www.npr.org/templates/story/story.php?storyId=120062592
43,10/28/2009,No Visa Needed For Good Cuban Food,"With Congress considering relaxing its nearly 50-year-old restrictions on travel to Cuba, many Americans are salivating at the prospect of visiting the forbidden island. But a taste of Cuba can be found much closer to home - in your own kitchen.",http://www.npr.org/templates/story/story.php?storyId=114209157
42,10/21/2009,Octopalooza: Eight Arms Three Ways,"A full-grown octopus is a lot to take on in the kitchen, but the babies are tender and unintimidating - and can be had for a very persuasive price. Cook them fast and hot, or cook them low and slow.",http://www.npr.org/2009/10/21/113980290/octopalooza-eight-arms-three-ways
41,10/14/2009,Cooking With Beer,"A staple in many cultures since ancient Egyptian times, beer can be a fixture in your kitchen, too. Pour a bit of brew into a pot, pie or cake - then drink the rest.",http://www.npr.org/templates/story/story.php?storyId=113747902
40,10/7/2009,Rethinking Rice,"What's a rice lover to do when the steamy, fluffy stuff has lost some of its appeal? Food writer Pat Tanumihardja set out to expand her rice repertoire - and found some cool alternatives.",http://www.npr.org/templates/story/story.php?storyId=113531383
39,9/30/2009,"Corn Pudding, End-Of-Summer Showstopper","When the days grow shorter and corn is harder to come by, the ears smaller and less plump, turn to corn pudding for the perfect marriage of butter and corn. The sweet, silky concoction could be called ""carnal pudding,"" but we'll just call it heavenly.",http://www.npr.org/templates/story/story.php?storyId=113310116
38,9/23/2009,Freezer Jam: A Baby Step To Canning,"Afraid to take the plunge into traditional canning? Wade in instead by making freezer jam, which follows the same process - without the heat. It's a simple, delicious way to preserve the fruits of summer.",http://www.npr.org/templates/story/story.php?storyId=113079746
37,9/16/2009,Open Your Mind (And Your Mouth) To Okra,"If you're intimidated by this sometimes-slimy Southern favorite, take baby steps: Try it stewed in a flavorful casserole or gumbo, or fried crisp in a cornmeal coating.",http://www.npr.org/templates/story/story.php?storyId=112761034
36,9/9/2009,Taming The Wild Beach Plum,"If you've never seen a beach plum, you're not the only one. They only grow in sandy, coastal areas - and some years, the gnarly, windblown bushes just don't bear fruit at all. Fortunately, there are ways to enjoy them now, and ways to spread them out between years of plenty.",http://www.npr.org/templates/story/story.php?storyId=112560982
35,9/1/2009,Beyond Fried Calamari,"That plateful of crispy, tender little rings, often dunked in dipping sauce, bears little resemblance to its squirmy source. But food writer Domenica Marchetti suggests saluting the squid - aka calamari - by serving it in all its ""tentacular"" glory.",http://www.npr.org/2009/09/01/112440237/beyond-fried-calamari
34,8/25/2009,Making A Meal Of Greek Meze,"A collection of small, flavorful dishes called meze are a common evening meal in the Mediterranean, but journalist Joanna Kakissis finds they're a great way to make friends in the U.S., too.",http://www.npr.org/templates/story/story.php?storyId=112208400
33,8/19/2009,Falling In Love With Lavender,"If you're infatuated with lavender's slightly spicy, earthy aroma, you'll love the flavor of this flowering relative of mint. Try it in nearly anything: from cocktails, to roasted vegetables and meats, to creamy desserts.",http://www.npr.org/templates/story/story.php?storyId=111990747
32,8/12/2009,Gather Ye Squash Blossoms While Ye May,"These edible flowers have a texture that's soft and delicate when raw or steamed, crisp and toothsome when fried - and especially delectable when encasing dollops of soft, white cheese.",http://www.npr.org/templates/story/story.php?storyId=111697142
31,8/4/2009,Give Anchovies Another Chance,"Although anchovies have been a staple of the global diet for thousands of years, their reputation scares a lot of people off. Their fishy, salty pungency just takes a little care in preparation. Once you harness their ""umami,"" you'll learn to love this remarkable little fish.",http://www.npr.org/templates/story/story.php?storyId=111536466
30,7/29/2009,A Passion For Peaches,"Finding a vendor that sells local peaches in season isn't too hard to do; finding a way NOT to overindulge while the sweet, juicy fruit is bountiful can be a much tougher task - especially when it's dressing up muffins, meats, crepes and more.",http://www.npr.org/2009/07/29/111204422/a-passion-for-peaches
29,7/22/2009,Jamaica Flowers Charm The Kitchen,"Hibiscus, or ",http://www.npr.org/templates/story/story.php?storyId=106838832
28,7/15/2009,Emerald City: Cold Green Bean Salads,"Minimal cooking lets green beans shine - and keeps the kitchen cool as summer heats up. These crisp, bright dishes are a snap to make in the morning and leave in the fridge all day.",http://www.npr.org/templates/story/story.php?storyId=106604562
27,7/8/2009,Picnics Can Be Movable Feasts,Dining ,http://www.npr.org/templates/story/story.php?storyId=106357481
26,7/1/2009,Pluots And Apriums: The Best Of Both Parents,"Demand for these hybrid fruits, especially pluots, has skyrocketed. Pluots now make up a majority of the plum market. In fact, you might be eating a pluot or an aprium and not even know it.",http://www.npr.org/templates/story/story.php?storyId=106098949
25,6/24/2009,Cooking With Herbs,Personal chef Kevin Weeks sets out to tantalize taste buds with a light menu featuring a cornucopia of fresh herbs from appetizer to dessert.,http://www.npr.org/templates/story/story.php?storyId=105810919
24,6/17/2009,Pucker Up For Sour Cherries,"Their season is brief, they're highly perishable and of course you'll have to pit them. But one bite of sweet-tart cherry pie or rich cherry pound cake, and you'll know the effort was well worth it.",http://www.npr.org/templates/story/story.php?storyId=105263645
23,6/10/2009,Rethinking Potato Salad,"This cookout season, forgo the dubious mayo-drenched variety. Punch up your potato salad with colorful spuds and international flavors.",http://www.npr.org/2009/06/10/105166775/rethinking-potato-salad
22,6/3/2009,Spicing Up The American Diet,"Food writer Monica Bhide says that when she moved to the U.S. from the Mideast nearly two decades ago, she fell in love with people's playfulness with food. Now American food is an important part of her home cooking repertoire, but she always adds a spicy twist.",http://www.npr.org/templates/story/story.php?storyId=104833185
21,5/27/2009,Mint And Paprika Make A Lovely Couple,"Alone, mint is piercing and paprika rounded.  Together, their sweetness converges into something completely different from either - an herbal, fruity wake-up call, confused and aromatic; cool on the sides of the tongue and warm at the tip.",http://www.npr.org/templates/story/story.php?storyId=104548396
20,5/20/2009,Sorrel Makes Sour Sweet,"Cooking with sorrel, a deceptively bland-looking green that bursts with lemony tartness, offers depth and a surprise flavor with almost no effort. It is spring's little gift to the cook.",http://www.npr.org/templates/story/story.php?storyId=104313902
19,5/13/2009,Grilled Cheese Gets An Update,"For decades, the sandwich remained relatively unchanged. One bite of warm, gooey cheese nestled between two crunchy, buttery slices of white bread recalled the simpler days of childhood. Now there's a whole new world of designer grilled cheese.",http://www.npr.org/templates/story/story.php?storyId=104057146
18,5/6/2009,Trout Season: A Fish Tale,"Growing up in fly-fishing country, food writer Carol Guensburg developed a taste for the fresh-caught trout that was a family staple. Whether wild or farm-raised, pan-fried or smoked, the delicate but flavorful fish is still a favorite.",http://www.npr.org/templates/story/story.php?storyId=103788807
17,4/29/2009,Spring's Cold Comfort: Fresh Cream Desserts,"Whipped cream is usually just a sugary afterthought on some other confection. But now is the season of new milk and fresh eggs, which means it's high time for desserts that are all about cream for cream's sake.",http://www.npr.org/templates/story/story.php?storyId=103574346
16,4/22/2009,"Back To Basics: Good For You, Good For The Earth","Food writer Mark Bittman says eating like a vegan until dinner can protect your health and help save the planet. How we eat - and certainly what we eat - has a real impact on our bodies and the Earth. Try sticking to plants during the day, then indulging yourself at night - but with restraint.",http://www.npr.org/templates/story/story.php?storyId=103323943
15,4/15/2009,Making The Case For Chutney,"Served as accompaniments, spreads, salad dressings, meat toppings or even as stuffing, chutneys are a simple way to bring the fresh flavors of each season into the kitchen. You may find you want these Indian staples on your table at every meal.",http://www.npr.org/templates/story/story.php?storyId=103091540
14,4/8/2009,Peanut Butter: It's More Than A Sandwich,"After a national salmonella scare earlier this year, food writer Nicole Spiridakis was afraid she'd have to curtail her near-daily peanut butter habit. But with a little effort, it was easy to keep indulging in the rich, nutritious treat - and even learn to make it at home.",http://www.npr.org/templates/story/story.php?storyId=102830505
13,4/1/2009,Cracking The Egg Code,"Celebrations of spring - both religious and secular - almost always include eggs. These symbols of creation, fertility and rebirth are also extraordinary little nutrition packages. And they're one of few foods in Western cuisine that play an equal role in both sweet and savory dishes.",http://www.npr.org/templates/story/story.php?storyId=102526428
12,3/25/2009,Not Your Grandmother's Seder,"There is no more-ritualized meal in Jewish tradition than the Passover Seder, the sumptuous meal commemorating the exodus from Egypt. In fact, Seder means ""order."" Bringing a contemporary palate to a 5,000-year-old celebration, however, calls for some adjustment - like matzo ball soup with Thai flavors.",http://www.npr.org/templates/story/story.php?storyId=102284152
11,3/18/2009,Taking On The Whole Fish,"Many Americans aren't used to the sight of a head and tail on the table, but food writer Patricia Tanumihardja, who grew up in an Indonesian-Chinese family, says fish cooked on the bone is much more tasteful - and less wasteful.",http://www.npr.org/templates/story/story.php?storyId=101987037
10,3/11/2009,Real Corned Beef: Worth The Effort,"A hearty corned beef brisket and cabbage dinner is the staple of St. Patrick's Day meals across America. Have an experience, not just a meal, by brining the brisket yourself. The time and refrigerator space it takes will be worth it.",http://www.npr.org/templates/story/story.php?storyId=101390553
9,3/4/2009,Nouveau Casseroles,"Love it or leave it, most of us grew up eating some variation of casserole as part of the family dinner rotation. During these difficult times, embrace your inner child by revisiting a dish from the past - with a few updates.",http://www.npr.org/templates/story/story.php?storyId=101348850
8,2/25/2009,Travels With My Cazuela,"Cooking in a cazuela transports food writer Stephanie Stiavetti to the Spanish countryside. The inexpensive, versatile clay pot transforms a few smoky spices and simple ingredients into rustic Iberian fare.",http://www.npr.org/2009/02/25/101036444/travels-with-my-cazuela
7,2/18/2009,The Meyer Lemon: More Than A Pretty Face,"Plucked out of obscurity from life as a houseplant and nearly eradicated by disease, the thin-skinned Meyer lemon wouldn't go down without a fight. Now it's a darling of chefs and home cooks - slightly sweet, super juicy and not at all tart.",http://www.npr.org/templates/story/story.php?storyId=100778147
6,2/11/2009,Love Bites: A Valentine's Dinner,"It's the method as much as the ingredient list that makes a meal romantic, so let succulent, suggestive foods speak for themselves. Simple dishes that can be made ahead of time or eaten without fuss will leave you with dangerously idle hands.",http://www.npr.org/templates/story/story.php?storyId=100531865
5,2/4/2009,Conquering A Baker's Fear Of Yeast,"Baking with yeast - which gives bread its structure, rise and flavor - is an art that can only be learned by doing. So ditch the shortcuts and try making bread the old-fashioned way. With practice, you'll experience the unmatched satisfaction - not to mention the taste and smell - that accompanies a fresh-baked loaf of bread.",http://www.npr.org/templates/story/story.php?storyId=100164536
4,1/28/2009,Blood Oranges: Change You Can Believe In,"Inspired to make a change? Try some new, uncommon flavors, starting with this dazzling citrus fruit. Food writer Susan Russo says she'd like to send a box of blood oranges to President Obama - in hopes that his commitment to change may influence Americans' eating habits.",http://www.npr.org/templates/story/story.php?storyId=99883518
3,1/21/2009,Going With The Flow: Melted Cheese,"Any way you slice it, cheese is all you need to warm up a cold winter night. Cheddar, gruyere, emmentaler and others lend themselves to soups and sauces or star on their own - sliced and fried, or melted into fondue.",http://www.npr.org/templates/story/story.php?storyId=99540650
2,1/14/2009,Chocolate: A Food Without Borders,"Now living in Spain, editor Alejandra Garcia has learned that chocolate speaks an international language - and it's always in season. Eating chocolate ""the Spanish way"" means anything from a chocolate muffin for breakfast, to a chocolate drink before bed - or chocolate churros anytime.",http://www.npr.org/templates/story/story.php?storyId=99259513
1,1/7/2009,Lentils: A Legume For The Ages,"As a comforting, versatile food quick enough for weeknight cooking, lentils will keep you well fed all winter. But they're especially good to eat this time of year, as they're believed in many countries to ensure prosperity in the year to come.",http://www.npr.org/templates/story/story.php?storyId=99054419
52,12/24/2008,Holiday Seasonings: What's Your Must-Have Dish?,Do you have special recipes and food traditions for the holidays? What one dish ,http://www.npr.org/2008/12/24/96184165/holiday-seasonings-whats-your-must-have-dish
51,12/17/2008,'Tis The Cookie Season,"Because cookies come in all shapes, sizes and textures, you can make something to please everyone on your holiday gift list. Plus, memories of time spent in the kitchen with loved ones will last a lifetime.",http://www.npr.org/2008/12/17/98204493/tis-the-cookie-season
50,12/10/2008,Holiday Gifts Good Enough To Eat,"Making a relatively minor investment in a few extra bags of sugar, flour and sea salt can do wonders for your wallet, and it's infinitely satisfying to transform humble ingredients into homey, delicious goodies that will be truly appreciated by their recipients.",http://www.npr.org/templates/story/story.php?storyId=97970453
49,12/3/2008,Pate: Decadent But Not Difficult,"Though it's often overlooked by budget-savvy gourmets, pate is perfect holiday food. It's easy, indulgent and versatile enough for every taste. And it doesn't have to have anything to do with foie gras.",http://www.npr.org/templates/story/story.php?storyId=96918908
48,11/26/2008,Falling For Persimmons,"The shiny, pumpkin-colored fruit with exotic names like Hachiya and Fuyu brighten up autumn meals. The honeyed, custardlike Hachiyas are ideal for baked goods, while the mildly sweet and spicy Fuyus are perfect for salads and salsas.",http://www.npr.org/templates/story/story.php?storyId=97458318
47,11/19/2008,A Vegetarian Thanksgiving,"Even if you don't live meatlessly yourself, you might have a vegetarian or vegan at your Thanksgiving table. Offer your meat-free guests something more substantial than a cobbled-together plate of traditional vegetable side dishes.",http://www.npr.org/2008/11/19/97137098/a-vegetarian-thanksgiving
46,11/12/2008,Beefer Madness,"In ""Eat Local country,"" food writer T. Susan Chang says, neighbors get together to buy ""beefers"" - whole steers - from a nearby farm. Her share - some fresh ground beef, steaks, tongue and even a heart - provided for a year of memorable eating.",http://www.npr.org/templates/story/story.php?storyId=96865367
